locale,language,direction,format,width,height,file,caption,landing_page
"zh-Hant","zh-TW","ltr","story","1080","1920","zh-Hant/guitartool-chord-cards-zh-Hant-story-1080x1920.png","GuitarTool 可把目前的吉他或烏克麗麗指法預覽成卡片，儲存到照片或分享圖片；接收者無需安裝 App。","https://weizhichao1027-collab.github.io/guitartool-website/zh-hant/"
"zh-Hant","zh-TW","ltr","thumbnail","1920","1080","zh-Hant/guitartool-chord-cards-zh-Hant-thumbnail-1920x1080.png","GuitarTool 可把目前的吉他或烏克麗麗指法預覽成卡片，儲存到照片或分享圖片；接收者無需安裝 App。","https://weizhichao1027-collab.github.io/guitartool-website/zh-hant/"
"es","es","ltr","landscape","1200","630","es/guitartool-chord-cards-es-landscape-1200x630.png","GuitarTool convierte la posición actual de guitarra o ukelele en una tarjeta que puedes previsualizar, guardar en Fotos o compartir como imagen.","https://weizhichao1027-collab.github.io/guitartool-website/es/"
"es","es","ltr","feed","1080","1350","es/guitartool-chord-cards-es-feed-1080x1350.png","GuitarTool convierte la posición actual de guitarra o ukelele en una tarjeta que puedes previsualizar, guardar en Fotos o compartir como imagen.","https://weizhichao1027-collab.github.io/guitartool-website/es/"
"es","es","ltr","story","1080","1920","es/guitartool-chord-cards-es-story-1080x1920.png","GuitarTool convierte la posición actual de guitarra o ukelele en una tarjeta que puedes previsualizar, guardar en Fotos o compartir como imagen.","https://weizhichao1027-collab.github.io/guitartool-website/es/"
"es","es","ltr","thumbnail","1920","1080","es/guitartool-chord-cards-es-thumbnail-1920x1080.png","GuitarTool convierte la posición actual de guitarra o ukelele en una tarjeta que puedes previsualizar, guardar en Fotos o compartir como imagen.","https://weizhichao1027-collab.github.io/guitartool-website/es/"
"pt-BR","pt-BR","ltr","landscape","1200","630","pt-BR/guitartool-chord-cards-pt-BR-landscape-1200x630.png","O GuitarTool transforma a posição atual de guitarra ou ukulele em um cartão para visualizar, salvar em Fotos ou compartilhar como imagem.","https://weizhichao1027-collab.github.io/guitartool-website/pt-br/"
"pt-BR","pt-BR","ltr","feed","1080","1350","pt-BR/guitartool-chord-cards-pt-BR-feed-1080x1350.png","O GuitarTool transforma a posição atual de guitarra ou ukulele em um cartão para visualizar, salvar em Fotos ou compartilhar como imagem.","https://weizhichao1027-collab.github.io/guitartool-website/pt-br/"
"pt-BR","pt-BR","ltr","story","1080","1920","pt-BR/guitartool-chord-cards-pt-BR-story-1080x1920.png","O GuitarTool transforma a posição atual de guitarra ou ukulele em um cartão para visualizar, salvar em Fotos ou compartilhar como imagem.","https://weizhichao1027-collab.github.io/guitartool-website/pt-br/"
"pt-BR","pt-BR","ltr","thumbnail","1920","1080","pt-BR/guitartool-chord-cards-pt-BR-thumbnail-1920x1080.png","O GuitarTool transforma a posição atual de guitarra ou ukulele em um cartão para visualizar, salvar em Fotos ou compartilhar como imagem.","https://weizhichao1027-collab.github.io/guitartool-website/pt-br/"
"fr","fr","ltr","landscape","1200","630","fr/guitartool-chord-cards-fr-landscape-1200x630.png","GuitarTool transforme la position actuelle de guitare ou d’ukulélé en une fiche à prévisualiser, enregistrer dans Photos ou partager comme image.","https://weizhichao1027-collab.github.io/guitartool-website/fr/"
"fr","fr","ltr","feed","1080","1350","fr/guitartool-chord-cards-fr-feed-1080x1350.png","GuitarTool transforme la position actuelle de guitare ou d’ukulélé en une fiche à prévisualiser, enregistrer dans Photos ou partager comme image.","https://weizhichao1027-collab.github.io/guitartool-website/fr/"
"fr","fr","ltr","story","1080","1920","fr/guitartool-chord-cards-fr-story-1080x1920.png","GuitarTool transforme la position actuelle de guitare ou d’ukulélé en une fiche à prévisualiser, enregistrer dans Photos ou partager comme image.","https://weizhichao1027-collab.github.io/guitartool-website/fr/"
"fr","fr","ltr","thumbnail","1920","1080","fr/guitartool-chord-cards-fr-thumbnail-1920x1080.png","GuitarTool transforme la position actuelle de guitare ou d’ukulélé en une fiche à prévisualiser, enregistrer dans Photos ou partager comme image.","https://weizhichao1027-collab.github.io/guitartool-website/fr/"
"de","de","ltr","landscape","1200","630","de/guitartool-chord-cards-de-landscape-1200x630.png","GuitarTool erstellt aus dem aktuellen Gitarren- oder Ukulelengriff eine Karte zum Prüfen, Sichern in Fotos oder Teilen als Bild.","https://weizhichao1027-collab.github.io/guitartool-website/de/"
"de","de","ltr","feed","1080","1350","de/guitartool-chord-cards-de-feed-1080x1350.png","GuitarTool erstellt aus dem aktuellen Gitarren- oder Ukulelengriff eine Karte zum Prüfen, Sichern in Fotos oder Teilen als Bild.","https://weizhichao1027-collab.github.io/guitartool-website/de/"
"de","de","ltr","story","1080","1920","de/guitartool-chord-cards-de-story-1080x1920.png","GuitarTool erstellt aus dem aktuellen Gitarren- oder Ukulelengriff eine Karte zum Prüfen, Sichern in Fotos oder Teilen als Bild.","https://weizhichao1027-collab.github.io/guitartool-website/de/"
"de","de","ltr","thumbnail","1920","1080","de/guitartool-chord-cards-de-thumbnail-1920x1080.png","GuitarTool erstellt aus dem aktuellen Gitarren- oder Ukulelengriff eine Karte zum Prüfen, Sichern in Fotos oder Teilen als Bild.","https://weizhichao1027-collab.github.io/guitartool-website/de/"
"it","it","ltr","landscape","1200","630","it/guitartool-chord-cards-it-landscape-1200x630.png","GuitarTool trasforma la posizione attuale di chitarra o ukulele in una scheda da visualizzare, salvare in Foto o condividere come immagine.","https://weizhichao1027-collab.github.io/guitartool-website/it/"
"it","it","ltr","feed","1080","1350","it/guitartool-chord-cards-it-feed-1080x1350.png","GuitarTool trasforma la posizione attuale di chitarra o ukulele in una scheda da visualizzare, salvare in Foto o condividere come immagine.","https://weizhichao1027-collab.github.io/guitartool-website/it/"
"it","it","ltr","story","1080","1920","it/guitartool-chord-cards-it-story-1080x1920.png","GuitarTool trasforma la posizione attuale di chitarra o ukulele in una scheda da visualizzare, salvare in Foto o condividere come immagine.","https://weizhichao1027-collab.github.io/guitartool-website/it/"
"it","it","ltr","thumbnail","1920","1080","it/guitartool-chord-cards-it-thumbnail-1920x1080.png","GuitarTool trasforma la posizione attuale di chitarra o ukulele in una scheda da visualizzare, salvare in Foto o condividere come immagine.","https://weizhichao1027-collab.github.io/guitartool-website/it/"
"ja","ja","ltr","landscape","1200","630","ja/guitartool-chord-cards-ja-landscape-1200x630.png","GuitarToolでは、現在のギター／ウクレレの押さえ方をカードとして確認し、写真に保存、または画像として共有できます。","https://weizhichao1027-collab.github.io/guitartool-website/ja/"
"ja","ja","ltr","feed","1080","1350","ja/guitartool-chord-cards-ja-feed-1080x1350.png","GuitarToolでは、現在のギター／ウクレレの押さえ方をカードとして確認し、写真に保存、または画像として共有できます。","https://weizhichao1027-collab.github.io/guitartool-website/ja/"
"ja","ja","ltr","story","1080","1920","ja/guitartool-chord-cards-ja-story-1080x1920.png","GuitarToolでは、現在のギター／ウクレレの押さえ方をカードとして確認し、写真に保存、または画像として共有できます。","https://weizhichao1027-collab.github.io/guitartool-website/ja/"
"ja","ja","ltr","thumbnail","1920","1080","ja/guitartool-chord-cards-ja-thumbnail-1920x1080.png","GuitarToolでは、現在のギター／ウクレレの押さえ方をカードとして確認し、写真に保存、または画像として共有できます。","https://weizhichao1027-collab.github.io/guitartool-website/ja/"
"ko","ko","ltr","landscape","1200","630","ko/guitartool-chord-cards-ko-landscape-1200x630.png","GuitarTool에서는 현재 기타 또는 우쿨렐레 운지를 카드로 미리 보고 사진에 저장하거나 이미지로 공유할 수 있습니다.","https://weizhichao1027-collab.github.io/guitartool-website/ko/"
"ko","ko","ltr","feed","1080","1350","ko/guitartool-chord-cards-ko-feed-1080x1350.png","GuitarTool에서는 현재 기타 또는 우쿨렐레 운지를 카드로 미리 보고 사진에 저장하거나 이미지로 공유할 수 있습니다.","https://weizhichao1027-collab.github.io/guitartool-website/ko/"
"ko","ko","ltr","story","1080","1920","ko/guitartool-chord-cards-ko-story-1080x1920.png","GuitarTool에서는 현재 기타 또는 우쿨렐레 운지를 카드로 미리 보고 사진에 저장하거나 이미지로 공유할 수 있습니다.","https://weizhichao1027-collab.github.io/guitartool-website/ko/"
"ko","ko","ltr","thumbnail","1920","1080","ko/guitartool-chord-cards-ko-thumbnail-1920x1080.png","GuitarTool에서는 현재 기타 또는 우쿨렐레 운지를 카드로 미리 보고 사진에 저장하거나 이미지로 공유할 수 있습니다.","https://weizhichao1027-collab.github.io/guitartool-website/ko/"
"ru","ru","ltr","landscape","1200","630","ru/guitartool-chord-cards-ru-landscape-1200x630.png","GuitarTool превращает текущую аппликатуру гитары или укулеле в карточку: её можно проверить, сохранить в Фото или отправить как изображение.","https://weizhichao1027-collab.github.io/guitartool-website/ru/"
"ru","ru","ltr","feed","1080","1350","ru/guitartool-chord-cards-ru-feed-1080x1350.png","GuitarTool превращает текущую аппликатуру гитары или укулеле в карточку: её можно проверить, сохранить в Фото или отправить как изображение.","https://weizhichao1027-collab.github.io/guitartool-website/ru/"
"ru","ru","ltr","story","1080","1920","ru/guitartool-chord-cards-ru-story-1080x1920.png","GuitarTool превращает текущую аппликатуру гитары или укулеле в карточку: её можно проверить, сохранить в Фото или отправить как изображение.","https://weizhichao1027-collab.github.io/guitartool-website/ru/"
"ru","ru","ltr","thumbnail","1920","1080","ru/guitartool-chord-cards-ru-thumbnail-1920x1080.png","GuitarTool превращает текущую аппликатуру гитары или укулеле в карточку: её можно проверить, сохранить в Фото или отправить как изображение.","https://weizhichao1027-collab.github.io/guitartool-website/ru/"
"tr","tr","ltr","landscape","1200","630","tr/guitartool-chord-cards-tr-landscape-1200x630.png","GuitarTool, geçerli gitar veya ukulele pozisyonunu önizleyebileceğiniz, Fotoğraflar’a kaydedebileceğiniz ya da görüntü olarak paylaşabileceğiniz bir karta dönüştürür.","https://weizhichao1027-collab.github.io/guitartool-website/tr/"
"tr","tr","ltr","feed","1080","1350","tr/guitartool-chord-cards-tr-feed-1080x1350.png","GuitarTool, geçerli gitar veya ukulele pozisyonunu önizleyebileceğiniz, Fotoğraflar’a kaydedebileceğiniz ya da görüntü olarak paylaşabileceğiniz bir karta dönüştürür.","https://weizhichao1027-collab.github.io/guitartool-website/tr/"
"tr","tr","ltr","story","1080","1920","tr/guitartool-chord-cards-tr-story-1080x1920.png","GuitarTool, geçerli gitar veya ukulele pozisyonunu önizleyebileceğiniz, Fotoğraflar’a kaydedebileceğiniz ya da görüntü olarak paylaşabileceğiniz bir karta dönüştürür.","https://weizhichao1027-collab.github.io/guitartool-website/tr/"
"tr","tr","ltr","thumbnail","1920","1080","tr/guitartool-chord-cards-tr-thumbnail-1920x1080.png","GuitarTool, geçerli gitar veya ukulele pozisyonunu önizleyebileceğiniz, Fotoğraflar’a kaydedebileceğiniz ya da görüntü olarak paylaşabileceğiniz bir karta dönüştürür.","https://weizhichao1027-collab.github.io/guitartool-website/tr/"
"ar","ar","rtl","landscape","1200","630","ar/guitartool-chord-cards-ar-landscape-1200x630.png","يحوّل GuitarTool وضعية الغيتار أو اليوكليلي الحالية إلى بطاقة يمكنك معاينتها وحفظها في الصور أو مشاركتها كصورة.","https://weizhichao1027-collab.github.io/guitartool-website/ar/"
"ar","ar","rtl","feed","1080","1350","ar/guitartool-chord-cards-ar-feed-1080x1350.png","يحوّل GuitarTool وضعية الغيتار أو اليوكليلي الحالية إلى بطاقة يمكنك معاينتها وحفظها في الصور أو مشاركتها كصورة.","https://weizhichao1027-collab.github.io/guitartool-website/ar/"
"ar","ar","rtl","story","1080","1920","ar/guitartool-chord-cards-ar-story-1080x1920.png","يحوّل GuitarTool وضعية الغيتار أو اليوكليلي الحالية إلى بطاقة يمكنك معاينتها وحفظها في الصور أو مشاركتها كصورة.","https://weizhichao1027-collab.github.io/guitartool-website/ar/"
"ar","ar","rtl","thumbnail","1920","1080","ar/guitartool-chord-cards-ar-thumbnail-1920x1080.png","يحوّل GuitarTool وضعية الغيتار أو اليوكليلي الحالية إلى بطاقة يمكنك معاينتها وحفظها في الصور أو مشاركتها كصورة.","https://weizhichao1027-collab.github.io/guitartool-website/ar/"
